Value,Description,,,,,
KNOW,Market knowledge,,,,,
COOP,Corporate operations,,,,,
XNET,Expanding network,,,,,
PUBY,Publicity,,,,,
BIZD,Business development,,,,,
COMP,Compliance,,,,,
ALL,General guidance,,,,,
